,randomized,question_url,course_code,question_id,inductive_coding_question_type,Media,question_title,question_body,question_good_count,Time,,instructor_answer,instructor_answer_good_count,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,pedagogy_1,clarity_1,annotator_notes,pedagogy_2,external references,relevant concepts,Example,visual aids,Others,clarity_2,annotator_notes
290,278,https://piazza.com/class/kjv25fqyx8y513/post/243,COMP3711,question @243,,0,P6 - Minimum length of two sequences,"In P6, we are given two sequences x[1...m] and y[1...n] and we need to find the minimum cost to covert x to y.

May I ask can m= 0 or n= 0? If m=0, this means the source string is empty such that converting 
x to y requires all operations being “insert”.

Thanks!",0,Updated 3 years ago by Anonymous Atom,,"Yes. $$m=0$$ and $$n=0$$ are definitely possible.
 
 If $$m=0$$ then the conversion from $$X$$ to $$Y$$ uses only insertion operations.
 
 (You will actually need something like this as an initial condition)",1,,,,,,3,,,,,,,,3,
292,0,https://piazza.com/class/kjv25fqyx8y513/post/247,COMP3711,question @247,lecture notes clarification,0,Optimal bst in lecture notes,"do we know the height of the subtree by e[i,j] and root[i,j]?",0,Updated 3 years ago by Anonymous Atom,,"The DP given in class for optimal BSTs has absolutely no knowledge about the heights of the trees.
 
 The intuition here is that the reason that DPS work is that they they throw away a lot of information when defining the subproblems. That's where their efficiency comes from.
 
 
 $$e[i,j]$$ in the class notes is ONLY storing information about the minimum COST of a tree on $$a_i\ldots a_j$$. It knows absolutely no information about the tree that realizes that minimum cost (except for its root, which it stores in $$root[i,j]$$)",1,,,,,,2,,I,,1,,,,3,
300,43,https://piazza.com/class/kjv25fqyx8y513/post/257,COMP3711,question @257,,0,"In P5, value of V[1,1]?","If V[i,j] is maximum value of path at i,j; is V[1,1] equal to A[1,1] or negative infinity?",0,Updated 3 years ago by Anonymous Calc,,"What do you mean by $$V[i,j]?$$ That is not part of the problem definition?
 
 If you are referencing any other post, please provide the reference.
 If the question is
 What is the value of the max value path ending at $$(1,1)$$?
 The answer is $$A[1,1].$$",1,,,,,,2,,,,,,,,3,
302,755,https://piazza.com/class/kjv25fqyx8y513/post/265,COMP3711,question @265,,0,HW3 P2c,"May I ask more about presenting the function calls? I think we need to present all calls, including every recursive calls, mentioning the inputs and the returned node. However, I wonder if there is a required of presenting the calls, such as mentioning calls level by level, or following the sequence of calling?

For instance, for
A
/ \
B C
/
D
should it be in the order of level by level: construct(A)->construct(B)->construct( C )->construct(D), or sequence of calling: construct(A)->construct(B)->construct(D)->construct( C )?

Thanks",0,Updated 3 years ago by Anonymous Calc,,"It should be in the form of a sequence of calls to the Construct-BST() function.
 
 For example, the very first call in the sequence of the HW question should be:
 
 Construct-BST(root, 1, 8)
 
 Suppose the output of this first call is k, then it will be followed by:
 
 Construct-BST(root, 1, k-1)
 
 So on and so forth.",1,,,,,G,3,,G,,,1,,,3,
306,23,https://piazza.com/class/kjv25fqyx8y513/post/281,COMP3711,question @281,requirements clarification,0,Redefining the symbols in the proof,"Can we directly use the symbols that are already defined in the problem? or do we need to define them again in the proof?
 
 For example in P7, $$p_i$$ is defined as the probability of accessing file i. Do I need to write the same definition for (d) as a setup if I'm going to use it in my proof?",0,Updated 3 years ago by Anonymous Scale,,No. If something has been introduced in the problem definition yo0u absolutely do NOT have to repeat its definition.,1,,,,,,3,,,,,,,,3,
307,391,https://piazza.com/class/kjv25fqyx8y513/post/282,COMP3711,question @282,,0,P6 documented pseudocode for out of bound index,"In problem 6, let's say I defined a base case that if D[0, 0] equals a specific value, when I write the pseudocode, D[0, 0] is a out of bound index, do I need to do anything about it?
 Such as make some if else statement to handle it, or can I use assume that as it is defined in my recurrence relationship, I can call get the specific value I defined in the pseudocode?",0,Updated 3 years ago by Loading...,,"Yes. If that happens, you do need to do something about it.
 
 I don't understand the question, though.
 
 For problem 6, ALL of the $$D[i,j]$$ should have values $$\ge 0$$.
 That's how $$D[i,j]$$ is defined in part (a).
 
 The $$D[i,j]$$ do not store indices. They store edit distance values.
 
 The problem is NOT asking you unto construct the actual edit formula. Only the cost of the edit formula.
 So, there's no need to store any indices.",1,,,,,,3,,,,,,,,3,
311,160,https://piazza.com/class/kjv25fqyx8y513/post/286,COMP3711,question @286,,0,A question on DP and D&C,"This question is not directly related to any problem in HW3, but I came up with this question in the process of solving DP problems in HW3.
 
 In the lecture notes, it was mentioned that D&C used ""top down"" and DP used ""bottom up"". However, for Q5, we are recommended to solve the this problem with top down. For Q9, we are recommended to think about the last station first and derive a recurrence based on that. It is also kind of ""top down"". I'm wondering what is the substantial difference between DP and D&C. I'm quite confused with it.
 
 Thanks!",0,Updated 3 years ago by Anonymous Comp,,"There's a confusion here about what top-down and bottom up means here.
 
 bottom-up means that you are
 - defining the idea of a subproblem
 - filling in the table from the bottom up, i.e., from smaller subproblems to larger ones.
 
 So, you are actually solving problem 5 bottom-up
 (you are looking at the graph from the top vertex $$(1,1)$$ down, on but that's just a visual aid).
 
 You are also solving problem 9 bottom up. Filling in the smaller table entries before the larger ones
 
 
 **************
 
 The idea of top-down in recursion is that we are saying
 I can solve this large problem by
 - solving some VERY SPECIFIC supbroblems,
 - and then combining the solutions together to get the solution to the smaller larger problem.
 
 ******************
 
 In some ways, you can think of DP as top down.
 You are solving the larger problem by looking at the solutions to smaller problems.
 But, unlike in recursion, we don't know WHAT the exact smaller problems are in advance.
 So we need to calculate ALL of the smaller problems before trying to solve the larger problem.
 
 Top Down and Bottom-Up here are not meant to be very formal descriptions. They're intended more as aids to intuition.",1,,,,,,3,,G,,1,1,,,3,
316,568,https://piazza.com/class/kjv25fqyx8y513/post/292,COMP3711,question @292,requirement clarification,0,stating running time for sorting,"May I ask if we are now allowed to directly state the running time of some sorting algorithms without proving that in this homework?
For instance, can we say we will use merge sort and then just state it takes O(nlogn) time or 
cnlogn time for some constant c>0 without mentioning how this is derived.

Thanks!",1,Updated 3 years ago by Anonymous Helix,,"Absolutely. Just say that you are using mergesort to sort the data
 (and explain what key you are sorting on)",1,,,,,,3,,,,,,,,3,
323,327,https://piazza.com/class/kjv25fqyx8y513/post/300,COMP3711,question @300,,0,Return P9,"Just to make sure, for P9 I only need to return the cheapest cost right? And not the set nor the location of the bases? Thanks!",0,Updated 3 years ago by Anonymous Mouse,,Yes. You only need to calculate the cost.,1,,,,,,3,,,,,,,,3,
339,261,https://piazza.com/class/kjv25fqyx8y513/post/323,COMP3711,question @323,,0,P8 output format,"I would like to ask about the output requirement for P8.

Should we use a set to hold the base stations and then return it or should we keep outputting (printing) whenever we find an appropriate station?

I hope to ask because I suddenly remembered that set operation does not take constant time. I am not sure how to fix this problem if we need to use a set to return.

Thanks!",0,Updated 3 years ago by Anonymous Atom,,"This is not really a set. It's a list.
 You are adding items one at a time.
 You can just print each base station when you add it and keep track of the last base station added.",1,,,,,,3,,O,,,,,procedure,3,
341,19,https://piazza.com/class/kjv25fqyx8y513/post/337,COMP3711,question @337,Assignment Description Clarification,0,P1 (b) Time complexity,"For problem 1 (b) we are required to find a algorithm that runs in $$O(|E|)$$ time, but in the hints, we are hinted to test for the edge satisfying a property in $$O(E + V)$$ time.
 Is the reason we can turn $$O(E + V)$$ into $$O(|E|)$$ because we already know the relationship of V and E, so we can simplify one into the other? or do we have to do some extra proof?",1,Updated 3 years ago by Loading...,,"You are given that the graph is connected so $$E \ge V-1$$. SO, $$\Theta(E)$$ is equivalent to $$\Theta(V+E)$$.They can be used interchangeably.",1,,,,,,3,,,,,,,,3,
350,662,https://piazza.com/class/kjv25fqyx8y513/post/351,COMP3711,question @351,,0,P4 A(b) Union-Find Structure,"Is there any requirement for how the Union-Find Structure should be handled?

For example, can we use the optimizations (height comparison, path compression) to make the structure shorter?

(Just wondering since I found that the rendering of each tree takes a lot of vertical space)",0,Updated 3 years ago by Anonymous Calc,,"As stated in the problem, the solution must follow the ""Kruskal's algorithm using the Union operation on Page 28"" of the 16_MST lecture notes.
 
 No application of path compression. Actually, as one could see in the worked example in 16c_Kruskal_UF, the algorithm constrains the growth of the union-find data structure in height, and the solution of each step may not take up a lot of space vertically.",1,,,,,P,3,,I,,1,,,,3,
353,620,https://piazza.com/class/kjv25fqyx8y513/post/354,COMP3711,question @354,,0,P2 Same timestamp,"If we have two possible paths of infection of a single computer (with different length) in the same timestamp, which path should we choose?
 
 For instance,
 
 Suppose that current timestamp is $$ t_7 $$, and we know that a set of computers $$ \left\{ C_1, C_2 \right\} $$ have been already infected.
 
 Also suppose that we have these connection in timestamp $$ t_7 $$.
 
 $$ (C_{1_{t_7}}, C_{5_{t_7}}, t_7), (C_{1_{t_7}}, C_{3_{t_7}}, t_7),(C_{5_{t_7}}, C_{3_{t_7}}, t_7), $$.
 
 Here, $$ C_5 $$ can be directly infected from $$ C_1 $$, or it can be infected from $$ C_3 $$ which has been infected by $$C_1 $$. Since the infection is instantaneous, both infections will occur in timestamp $$ t_7 $$. Can I choose either one for $$P[C_5] $$ ?",0,Updated 3 years ago by Anonymous Atom,,"It doesn't matter. You can choose any one.
 
 This is similar to Dijkstra's algorithm.
 The tree Dijkstra's algorithm builds is A shortest path tree. There might be many such trees with many different shortest paths from $$s$$ to $$t$$
 The algorithm breaks ties arbitrarily
 
 The situation is similar for this problem.
 The path from $$C_{a}$$ to $$C_b$$ in the tree can be any path that infects $$C_b$$ at the earliest possible time.
 
 ****************************************
 Note. In your example, your notation is confusing.
 Since you are giving an example you don't have to use multiple level subscripts. You could have just written
 
 $$ (C_1, C_5, t_7), (C_1, C_3, t_7),(C_5, C_{3}, t_7) $$.",2,,,,,I,3,,I,,1,,,,3,
363,620,https://piazza.com/class/kjv25fqyx8y513/post/368,COMP3711,question @368,,1,P3 drawing requirement,"I would like to ask in hw4 P3, when we are drawing the result of the DFS and BFS graph, does the result graph
 1. need steps? like we need multiple images, in each we add a new edge like this image
[fig1]
 
 2. need numbering? do we need to number which edge is added first and which edge is added later
 
 3. need arrows? let's say $$u_0$$ infects $$v_0$$, do we need a edge with arrows pointing towards $$v_0$$?",0,Updated 3 years ago by Loading...,,"For better readability, it is recommended to only draw the tree edges selected by BFS/DFS on the given templates. No arrows or numbering required.
 
 https://piazza.com/class/kjv25fqyx8y513?cid=342",1,,,,,P,3,,P,1,,,,,3,
365,413,https://piazza.com/class/kjv25fqyx8y513/post/372,COMP3711,question @372,,0,P3,"Can there be multiple solutions for this problem? I did not exactly follow the adjacency list convention and chose an element at random if there were more than one element present at a level. So lets say if u0 : u1 → u7 → v1 → v7, then i chose v1 instead of u1 and applied my dfs/bfs from that node.",0,Updated 3 years ago by Anonymous Beaker,,"Not sure what you mean by ""not exactly follow the adjacency list).
 
 The problem asks for solution that exactly follows the exact adjacency list given, the algorithm (in the lecture notes), and the start point.",1,,,,,,2,,,,,,,,2,
366,344,https://piazza.com/class/kjv25fqyx8y513/post/375,COMP3711,question @375,,0,HW4 P1(b),"Can we use both description and pseudocode to answer this question?
 
 i.e. using description when using algorithms taught in class and write my own code for other parts
 
 Since I didn't think of a way to solve this problem only using algorithms that we already have, so I need to write some new codes.",0,Updated 3 years ago by Anonymous Beaker,,"Yes.
 
 You can combine pieces here.
 
 But, please structure it cleanly so that we can understand what you are doing.",1,,,,,,3,,,,,,,,3,
369,275,https://piazza.com/class/kjv25fqyx8y513/post/378,COMP3711,question @378,,0,Format of hw4,"I used LaTex in P4A(a) but I found it quite time consuming to draw trees by LaTex in P4A(b), may I draw it and insert it in the LaTex file ? Then it would be a picture in a pdf file.",0,Updated 3 years ago by Anonymous Atom,,"That would be fine.
 Alternatively, you can take the PPT template we gave you,
 - draw on it, scan it and make it into a PDF to include
 or
 - draw it in ppt, write to pdf and include that in the latex file
 or
 -draw it in ppt, write to pdf and insert it into the pdf file created by latex.
 
 Short version is that drawing in native latex is REALLY time consuming with a huge start up cost.
 It's much faster to generate pdf pictures using a different tool and then just include the pdf picture somehow.",1,,,,,,3,,G,,,1,,,3,
385,52,https://piazza.com/class/kjv25fqyx8y513/post/448,COMP3711,question @448,,0,"P3 ""each step""","For the question wording “fill in the following D(S) matrices for each step”, may I confirm if “one step” refers to filling in one TABLE but not one ENTRY in the table?

The answer should be just four tables? (or eight tables for (B)).",0,Updated 3 years ago by Anonymous Mouse,,One step means filling out the entire table once.,1,,,,,,3,,,,,,,,3,
389,732,https://piazza.com/class/kjv25fqyx8y513/post/457,COMP3711,question @457,concept question,1,Circulation demand,"[fig1]
I want to know if max flow |f| > total demand why the problem has no solution.",0,Updated 3 years ago by Anonymous Gear,,"It is impossible for max flow |f| > total demand to occur,
 
 Set $$S'= V - \{t\}$$, $$T'=\{t\}$$. Then $$C(S',T') = \sum_i dem(t_i) = \mbox{total demand}$$.
 
 The lemma from class states that, for any cut $$S,T,$$ and any flow $$f$$,
 
 $$|f| \le C(S,T)$$
 
 In particular
 
 $$|f^*| \le C(S',T')= \mbox{total demand}$$.",1,,,,,,3,,I,,1,,,,3,
394,433,https://piazza.com/class/kjv25fqyx8y513/post/465,COMP3711,question @465,hw,0,Running time for processing the inputs,"For P2, I have tried to model the problem to a max flow problem, similarly to the application examples in the lecture notes.
 
 However, since the input to the F-F algorithm is a graph, I wonder if we need to produce a graph from the inputs in order to use the algorithm as subroutine. If so, how should we process the inputs into graphs? The main question is what data structure we will use as graph and what operations we will use to insert items when processing a datum. I was thinking about set operations but I am afraid the running time for that will be very bad.
 
 Thanks",1,Updated 3 years ago by Anonymous Helix,,"You do NOT need to do all that.
 
 All you need to do is describe the graph the wat that we did in the 19a_MF_Applications slides
 
 That is.
 Simply list what the vertices and edges and capacities of all of the edges are
 
 That's it.
 
 The main part of the problem is
 1) (a) Sating that you will run FF on the graph and then, somehow
 (b) use the output of FF to get the output for your problem
 
 2) Proving that your output is correct
 
 3) Showing that your running time is correct.
 
 We don't expect (or want) detailed pseudocode for this.
 
 the main ""algorithmic"" part will be explaining (b)",1,,,,,,3,,I,,1,,,,3,
481,822,https://piazza.com/class/llyqb9m6bch5qc/post/488,COMP2011,question @488,hw,0,pa3 testing,"pa3 testing
 
 Referinng to @484, I am posting my pa3 file for you to test, mainly the add_star_rank function on testcase 11, 12, 33, 34, 35. Respond in the follow-up discussion on whether you pass the testcase or fail it. I've tested on two different Windows machine and passed, while ZINC and TA indicate my submission failed.
 
 1701355173129_aggregated.zip",1,Updated 4 weeks ago by Ng Chik Lun,,"If needed, please discuss with the PA3 appeal handling TA and keep me posted via email. I don't think PA3 designer would like to deduct points from students. It is not a pleasing experience for both students and TAs to handle appeal cases. Yet, we have some strict rules so that we can consistently grade 500+ submissions online. 
 
 If ZINC test cases cannot be passed, there must be some flaws in your code. 
 
 Indeed, ZINC can be configured to produce live testing results. We decide not to enable it because we have 500+ enrolment. From our experience, ZINC just crashed near the submission deadline if we enable the live testing feature.",1,"~ An instructor (CHUNG, Peter) thinks this is a good comment ~",,,,,3,,,,,,,,3,
482,417,https://piazza.com/class/llyqb9m6bch5qc/post/487,COMP2011,question @487,"others, learning suggestions",0,What things I can do to help weaker students in this course?,"What things I can do to help weaker students in this course?
 
 When I graded the exam papers, I felt heartbroken when I saw a student writing some negative sentences and could not answer most of the exam questions. 
 
 
 
 
 In future, I think I can do something extra without adding the workload of my colleagues. It can be something small, but may give some immediate help for weaker students.
 
 
 
 
 For example, will some video explanations accompanying with some slides to explain selected past papers helpful?",7,"Updated 4 weeks ago by CHUNG, Peter",,"I graduated from HKUST many years ago, so I can add a bit more history of COMP2011.
 
 In the remote past (3Y curriculum), COMP104 (the previous code of COMP2011) is the first programming course for COMP students. The exam statistics were very high (mean: near 90). I was still able to secure an A range. It was stressful, but the learning atmosphere was good. There were tutorial classes (very rare nowadays) and I could ask past paper questions with tutors.
 
 Since 4Y curriculum, more and more students with diversified backgrounds enrolled in COMP2011. I was assigned to other COMP courses and recently was assigned back to COMP2011.
 
 I believe that the teaching team members are eager to provide better support for students, especially for weaker ones. Unfortunately, it is impossible to make some formal teaching activities because it is a 500+ enrollment course.
 
 This is the reason why I would like to start something small but extra, and it can give some immediate help for weaker students.",4,"~ An instructor (CHUNG, Peter) thinks this is a good comment ~","To that student: Don't blame the player, blame the game.",1,,G,3,,G,,,1,,,3,
483,495,https://piazza.com/class/llyqb9m6bch5qc/post/485,COMP2011,question @485,,0,Q4 (Recursion) in exam,"Q4 (Recursion) in exam
 
 Hi,
 
 I don't think there's a skeleton code (or prototype) provided for implementing the binary search function in the final exam.
 
 I checked the solution and found my function is not completely the same to the suggested answer. Will this affect the grading?
 
 Thanks",1,Updated 4 weeks ago by Anonymous Calc,,We should accept alternative correct answers for coding questions. Please discuss with the exact TA grading that question during the paper checking session.,1,,,,,,3,,,,,,,,2,
491,750,https://piazza.com/class/llyqb9m6bch5qc/post/477,COMP2011,question @477,requirements clarification,0,Can we use lambda and range for loop in finals,"Can we use lambda and range for loop in finals
 Hi, I was just wondering if we were instructed to write code during the finals if we would be allowed to use lambda syntax and range for loop syntax? Thanks",1,Updated 1 month ago by Anonymous Gear,,"It is better to stick with the standard syntax. For example, lambda functions can be written using standalone functions. Range-for loop can be written using a standard for-loop.",1,,,,,,3,,G,,,1,,,3,
497,799,https://piazza.com/class/llyqb9m6bch5qc/post/471,COMP2011,question @471,grade appeal,0,PA3 appeal,"PA3 appeal
 I wonder whether I need to write an email to TA if my PA3 belongs to the appeal cases mentioned in Canvas announcements, or the re-grading will be done automatically for everyone?",1,Updated 1 month ago by Anonymous Comp,,"I contacted the PA3 appeal handling TA. He should handle some of the appeal cases, and he said that there are a few cases to be settled. Although no new requests should be sent after the appeal deadline, if needed, please send an email to the TA to follow up the current appeal handling progress.",1,,,,,,3,,,,,,,,2,
504,781,https://piazza.com/class/llyqb9m6bch5qc/post/463,COMP2011,question @463,hw,1,pbr for pointer,"pbr for pointer
 [fig1]
 Good evening, I'd like to ask about // set_student_record(*srp, ""Chris"", 100, 'M', CSE, d19970701); // because I tried to run the code on vsc but this error appears, is it supposed to be // set_student_record(srp, ""Chris"", 100, 'M', CSE, d19970701); // ?",0,Updated 1 month ago by Anonymous Mouse,,"[Edited] Professor fixed this slide. Thanks for pointing it out.
 
 I forwarded your question to the course coordinator. 
 
 In the lecture example code, the function prototype of set_student_record is:
 
 void set_student_record(Student_Record*, const char[],
 unsigned int, char, Dept, const Date*);
 
 The first parameter should be Student_Record* type, so invoking in this lecture slide is wrong: set_student_record(*srp, ….) because we should not deference srp when passing srp.",1,,,,,,2,,,,,,,,3,
513,435,https://piazza.com/class/llyqb9m6bch5qc/post/454,COMP2011,question @454,exam scope clarification,1,query about lambda expressions,"query about lambda expressionsHi~
 
 I am wondering if lambda expressions of the below form will appear in final exam~ it's covered in lecture notes in Function I briefly, but not sure if it would be tested.
 
 Thanks~

[fig1]",0,Updated 1 month ago by Anonymous Calc,,Please check the Canvas announcement about the final exam coverage.,1,,,,,,3,,P,1,,,,,2,
520,123,https://piazza.com/class/llyqb9m6bch5qc/post/447,COMP2011,question @447,requirements clarification,0,"is setting all float, double, int, long etc numerical variables in destructor allowed?","is setting all float, double, int, long etc numerical variables in destructor allowed?
 
 Hi~
 
 I am wondering if setting all float, double, int etc numerical variables to 0 in destructor is allowed if the question doesnt specify whether we should set/not set them to 0~
 
 Thanks~",1,Updated 1 month ago by Anonymous Comp,,"It is not necessary to reset the values in the destructor because the attributes will be cleaned up and destroyed by the system when the object is deleted.
 
 
 Yet, you still need to manually delete the memory you dynamically allocated in the constructor. Otherwise, there will be memory leak issues.",1,,,,,,3,,I,,1,,,,3,
543,337,https://piazza.com/class/llyqb9m6bch5qc/post/420,COMP2011,question @420,"clarification, debug",2,Definition of pointers,"[fig1] 
for above code, Is my drawing below correct?
 
 For L.H.S:
 I try to seperate the address(Ivalue) and value(rvalue) of the corresponding variables.
 
 For R.H.S:
 We should get the value of a pointer by using '*'.
 Thus, I try to dereferencing different pointers.
[fig2]",0,Updated 4 hours ago by Anonymous Beaker,,"Your interpretation looks correct. In C++, it is possible to print out the addresses (i.e., a 64 bit number in a 64-bit OS, usually in a hexadecimal notation). Here is the demo code to illustrate how to print out the addresses and the values of the pointer variables, based on your example:",2,,,,,G,3,,G,,1,1,,,3,
546,797,https://piazza.com/class/llyqb9m6bch5qc/post/417,COMP2011,question @417,debug,0,strcpy error,"i got an error message like below.
 
 error C4996: 'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.
 
 but if I use strcpy_s instead it has another error and to solve it i think something has to be changed in the skeleton code given. so are we allowed to use the _CRT_SECURE_NO_WARNINGS at the top of our code?
 
 thank you",0,Updated 6 hours ago by Anonymous Gear,,g++ don’t have strcpy_s. I think you are using Microsoft Visual C++ compiler. strcpy_s won’t compile in ZINC.,1,~ An instructor (Haobo Li) endorsed this answer ~,"Lab 8 can be done using strcpy(arg1, arg2), you might want to check your code.
 
 Make sure the parameters (arg1, arg2) being passed to strcpy() are 2 pointers to char. strcpy() copies elements of arg2 to arg1.",2,,,2,,I,,1,,,,3,
548,180,https://piazza.com/class/llyqb9m6bch5qc/post/415,COMP2011,question @415,debug,2,Why there is no output inside VScode,"I finished my code and want to test but I see no output when I test it on VSCode.
 
 
 [fig1]
 
 But when I test it on other platform, its totally fine.
 
 [fig2]
 
 Could anyone explain it to me? Thanks",1,Updated 18 hours ago by Anonymous Helix,,"The output is redirected to the files, such as test1.txt, test2.txt. You can check the output by opening those files.",1,,,,,,3,,G,,,1,,,3,
550,190,https://piazza.com/class/llyqb9m6bch5qc/post/413,COMP2011,question @413,requirement clarification,0,Can I use static unsigned int to initialize my variable in pa3?,"Since we are not able to use global variable in pa3, can I use static unsigned int to initialize my variable inside my function instead?",1,Updated 19 hours ago by Anonymous Calc,,No. You shouldn't use static in pa3,1,,,,,,3,,,,,,,,3,
553,727,https://piazza.com/class/llyqb9m6bch5qc/post/410,COMP2011,question @410,learning suggestions,0,Are there any tutorial for connecting vscode to ssh server?,I heard from same senior students that it is possible to connect our vscode to the linux server of ust. Are there any tutorial available in itsc or cse website?,1,Updated 20 hours ago by Anonymous Atom,,"It is not recommended because vscode ssh extensions need to create extra files on the server, and cssystem only allows each student to have 100MB disk quota.
 
 
 Use FileZilla FTP client to upload/down files. The steps are illustrated in the memory leak checking tutorial in PA3.",1,,,,,,3,,P,1,,,,,3,
557,68,https://piazza.com/class/llyqb9m6bch5qc/post/406,COMP2011,question @406,,1,the diagram of lab8 task2,"I cant really understand this diagram
 Could I get an elaboration on this
[fig1]",1,Updated 22 hours ago by Anonymous Poet,,Could you please specify which diagram you have questions about and what are the questions? Being more specific would be helpful.,1,,,,,,3,,,,,,,,2,
558,241,https://piazza.com/class/llyqb9m6bch5qc/post/404,COMP2011,question @404,debug,1,Memory leak test,"when I tried to add the 3rd course(it works fine without doing the memory leak), this showed up, Does this mean my code for that part has some problem? and how to solve it.
[fig1]",1,Updated 1 day ago by Anonymous Beaker,,"You can find the line number information (e.g., pa3.cpp: 173 means the line number is 173). You should read your code carefully to identify the potential problems in your code.",1,,,,,,3,,G,,,1,,,2,
563,500,https://piazza.com/class/llyqb9m6bch5qc/post/398,COMP2011,question @398,Assignment Help,1,Could I get any hints for the solution of this problem,"[fig1]
when I try to finish the delete task, it always come with this problem. Could I get some hints of this problem.",0,Updated 2 days ago by Anonymous Calc,,Please refer to @384.,1,,,,,,3,,P,1,,,,,2,
567,723,https://piazza.com/class/llyqb9m6bch5qc/post/394,COMP2011,question @394,requirement clarification,0,PA3 add_course function,Do we need to arrange the course id in increasing order or just in time order?,1,Updated 3 days ago by Anonymous Calc,,"There's no need to arrange the course array, just in time order, following the figure in Task 3.",1,,,,,,3,,,,,,,,3,
568,835,https://piazza.com/class/llyqb9m6bch5qc/post/393,COMP2011,question @393,debug?,1,add_star_ranking,"what is the meaning of the important message of the funtion add_star_ranking?
[fig1]",0,Updated 3 days ago by Loading...,,"This message means that each time you insert a star_ranking, insert it to the end of the star_rank_head link in the course.",1,,,,,,3,,,,,,,,3,
570,109,https://piazza.com/class/llyqb9m6bch5qc/post/391,COMP2011,question @391,hw question clarification (pa),2,question regarding format of pa3 output,"Hello, I just want to clarify the format of how we should output the star ranks. I noticed that the test cases show this 
 [fig1]
 where there is no space between the first number and the colon while the instructions tell us to place a space between like so
 [fig2]
 . I just want to know which one we should follow or if it matters at all?
 
 thank you!",1,Updated 3 days ago by Loading...,,"Please follow the output file, and we will modify the instructions.",1,,"I'd say follow the output since that is what we are supposed to match (Zinc grades according to the output given to us). 
 
 That being said, please follow what the TA says when they respond. :)",1,,,3,,,,,,,,3,
572,751,https://piazza.com/class/llyqb9m6bch5qc/post/389,COMP2011,question @389,logistics,1,lab 8 no submission link in zinc? because of holiday policy?,"i only see the holiday policy say that i dont need to attend lab 8.
 
 do i need to submit my lab 8 in zinc?
 
 is it normal i did not see any submission links for lab 8 ?
[fig1]",1,Updated 4 days ago by Anonymous Comp,,"For lab8, no submissions for Friday’s labs. There is a Canvas announcement about this issue.",2,,,,,,3,,,,,,,,3,
574,251,https://piazza.com/class/llyqb9m6bch5qc/post/387,COMP2011,question @387,debug,2,Unable to delete name,"I made the destructor function for class LinkNode. However, when I use testcase to test, it seems to have error in the delete [] this->name;
 [fig1]
 [fig2]
 What would be the reason for that?",2,Updated 5 days ago by Loading...,,You should delete the variable name. this-> indicates a pointer.,1,,,,,,3,,,,,,,,3,
577,707,https://piazza.com/class/llyqb9m6bch5qc/post/384,COMP2011,question @384,debug,1,lab8 Error?,"[fig1]
Why is there an error here? Did I do something wrong, or did I miss something?",1,Updated 5 days ago by Anonymous Atom,,You cannot assign it to the left side. You can try to use setPrev/setNext.,1,,,,,,3,,,,,,,,3,
584,134,https://piazza.com/class/llyqb9m6bch5qc/post/377,COMP2011,question @377,concept question,0,Nullptr?,"May I know in what situation ""newNode"" will become nullptr? Cuz the comments in ""insert"" function and ""remove"" function ask us to specially deal with this situation. However, form my point of view, in this situation, the two functions aren't even able to be called.",2,Updated 5 days ago by Anonymous Atom,,"Actually, if newNode == nullptr, just directly return. It maybe happen when the call remove function, If new player join.",1,,,,,,3,,G,,,1,,,3,
588,836,https://piazza.com/class/llyqb9m6bch5qc/post/372,COMP2011,question @372,requirement clarification,0,Can V Use Strlen and Strcpy in Lab8,RT,1,Updated 6 days ago by Loading...,,You can use Strcpy.,1,,"There wouldn't be a need for strlen as a global constant
 
 MAX_PLAYER_NAME is provided (size including \0 character)",1,,,3,,,,,,,,3,
589,810,https://piazza.com/class/llyqb9m6bch5qc/post/371,COMP2011,question @371,,2,Lab8 what is the meaning of exist node in task 2?,"[fig1]
it said insert the new node in front of the existing node
 however
 [fig2]
 i dont get this example, as i suppose the new node is D and want to insert in the back, then where is the exist node?",1,Updated 6 days ago by Anonymous Mouse,,"existNode is nullptr, which means newNode should be insert as the tail of Link.",3,,"existNode is the first node (and subset) of DoubledLink that holds smaller score than the newNode. (nullptr in this case as the TA has mentioned)
 
 Check addPlayer function for detail.",0,,,3,,,,,,,,3,
592,329,https://piazza.com/class/llyqb9m6bch5qc/post/368,COMP2011,question @368,logistics,0,Are there any remote host for us to test the code?,Since I am a bit concerned that the environment of my PC might not be the same as that of the grading system. May I ask if ust provides any remote host for us to use?,1,Updated 6 days ago by Anonymous Helix,,You can use the remote Linux machine in CS labs. The memory checking tutorial in PA3 provides a step-by-step instruction.,1,,,,,,3,,P,1,,,,,3,
595,465,https://piazza.com/class/llyqb9m6bch5qc/post/342,COMP2011,question @342,requirements clarification,0,PA3 Helper Functions,"In PA3 I see that we have many functions. Can we use any of the already defined functions in our code? For example, can I use the dynamic_init_course_array function in my code?",1,Updated 2 weeks ago by Anonymous Beaker,,">> Can we use any of the already defined functions in our code? 
 
 I don't think we have this restriction in PA3.",1,,,,,,3,,,,,,,,3,
